,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
0,8,307.0,130,3504,12.0,70,1,18.0
1,8,350.0,165,3693,11.5,70,1,15.0
2,8,318.0,150,3436,11.0,70,1,18.0
3,8,304.0,150,3433,12.0,70,1,16.0
4,8,302.0,140,3449,10.5,70,1,17.0
5,8,429.0,198,4341,10.0,70,1,15.0
6,8,454.0,220,4354,9.0,70,1,14.0
7,8,440.0,215,4312,8.5,70,1,14.0
8,8,455.0,225,4425,10.0,70,1,14.0
9,8,390.0,190,3850,8.5,70,1,15.0
10,8,383.0,170,3563,10.0,70,1,15.0
11,8,340.0,160,3609,8.0,70,1,14.0
12,8,400.0,150,3761,9.5,70,1,15.0
13,8,455.0,225,3086,10.0,70,1,14.0
14,4,113.0,95,2372,15.0,70,3,24.0
15,6,198.0,95,2833,15.5,70,1,22.0
16,6,199.0,97,2774,15.5,70,1,18.0
17,6,200.0,85,2587,16.0,70,1,21.0
18,4,97.0,88,2130,14.5,70,3,27.0
19,4,97.0,46,1835,20.5,70,2,26.0
20,4,110.0,87,2672,17.5,70,2,25.0
21,4,107.0,90,2430,14.5,70,2,24.0
22,4,104.0,95,2375,17.5,70,2,25.0
23,4,121.0,113,2234,12.5,70,2,26.0
24,6,199.0,90,2648,15.0,70,1,21.0
25,8,360.0,215,4615,14.0,70,1,10.0
26,8,307.0,200,4376,15.0,70,1,10.0
27,8,318.0,210,4382,13.5,70,1,11.0
28,8,304.0,193,4732,18.5,70,1,9.0
29,4,97.0,88,2130,14.5,71,3,27.0
30,4,140.0,90,2264,15.5,71,1,28.0
31,4,113.0,95,2228,14.0,71,3,25.0
33,6,232.0,100,2634,13.0,71,1,19.0
34,6,225.0,105,3439,15.5,71,1,16.0
35,6,250.0,100,3329,15.5,71,1,17.0
36,6,250.0,88,3302,15.5,71,1,19.0
37,6,232.0,100,3288,15.5,71,1,18.0
38,8,350.0,165,4209,12.0,71,1,14.0
39,8,400.0,175,4464,11.5,71,1,14.0
40,8,351.0,153,4154,13.5,71,1,14.0
41,8,318.0,150,4096,13.0,71,1,14.0
42,8,383.0,180,4955,11.5,71,1,12.0
43,8,400.0,170,4746,12.0,71,1,13.0
44,8,400.0,175,5140,12.0,71,1,13.0
45,6,258.0,110,2962,13.5,71,1,18.0
46,4,140.0,72,2408,19.0,71,1,22.0
47,6,250.0,100,3282,15.0,71,1,19.0
48,6,250.0,88,3139,14.5,71,1,18.0
49,4,122.0,86,2220,14.0,71,1,23.0
50,4,116.0,90,2123,14.0,71,2,28.0
51,4,79.0,70,2074,19.5,71,2,30.0
52,4,88.0,76,2065,14.5,71,2,30.0
53,4,71.0,65,1773,19.0,71,3,31.0
54,4,72.0,69,1613,18.0,71,3,35.0
55,4,97.0,60,1834,19.0,71,2,27.0
56,4,91.0,70,1955,20.5,71,1,26.0
57,4,113.0,95,2278,15.5,72,3,24.0
58,4,97.5,80,2126,17.0,72,1,25.0
59,4,97.0,54,2254,23.5,72,2,23.0
60,4,140.0,90,2408,19.5,72,1,20.0
61,4,122.0,86,2226,16.5,72,1,21.0
62,8,350.0,165,4274,12.0,72,1,13.0
63,8,400.0,175,4385,12.0,72,1,14.0
64,8,318.0,150,4135,13.5,72,1,15.0
65,8,351.0,153,4129,13.0,72,1,14.0
66,8,304.0,150,3672,11.5,72,1,17.0
67,8,429.0,208,4633,11.0,72,1,11.0
68,8,350.0,155,4502,13.5,72,1,13.0
69,8,350.0,160,4456,13.5,72,1,12.0
70,8,400.0,190,4422,12.5,72,1,13.0
71,3,70.0,97,2330,13.5,72,3,19.0
72,8,304.0,150,3892,12.5,72,1,15.0
73,8,307.0,130,4098,14.0,72,1,13.0
74,8,302.0,140,4294,16.0,72,1,13.0
75,8,318.0,150,4077,14.0,72,1,14.0
76,4,121.0,112,2933,14.5,72,2,18.0
77,4,121.0,76,2511,18.0,72,2,22.0
78,4,120.0,87,2979,19.5,72,2,21.0
79,4,96.0,69,2189,18.0,72,2,26.0
80,4,122.0,86,2395,16.0,72,1,22.0
81,4,97.0,92,2288,17.0,72,3,28.0
82,4,120.0,97,2506,14.5,72,3,23.0
83,4,98.0,80,2164,15.0,72,1,28.0
84,4,97.0,88,2100,16.5,72,3,27.0
85,8,350.0,175,4100,13.0,73,1,13.0
86,8,304.0,150,3672,11.5,73,1,14.0
87,8,350.0,145,3988,13.0,73,1,13.0
88,8,302.0,137,4042,14.5,73,1,14.0
89,8,318.0,150,3777,12.5,73,1,15.0
90,8,429.0,198,4952,11.5,73,1,12.0
91,8,400.0,150,4464,12.0,73,1,13.0
92,8,351.0,158,4363,13.0,73,1,13.0
93,8,318.0,150,4237,14.5,73,1,14.0
94,8,440.0,215,4735,11.0,73,1,13.0
95,8,455.0,225,4951,11.0,73,1,12.0
96,8,360.0,175,3821,11.0,73,1,13.0
97,6,225.0,105,3121,16.5,73,1,18.0
98,6,250.0,100,3278,18.0,73,1,16.0
99,6,232.0,100,2945,16.0,73,1,18.0
100,6,250.0,88,3021,16.5,73,1,18.0
101,6,198.0,95,2904,16.0,73,1,23.0
102,4,97.0,46,1950,21.0,73,2,26.0
103,8,400.0,150,4997,14.0,73,1,11.0
104,8,400.0,167,4906,12.5,73,1,12.0
105,8,360.0,170,4654,13.0,73,1,13.0
106,8,350.0,180,4499,12.5,73,1,12.0
107,6,232.0,100,2789,15.0,73,1,18.0
108,4,97.0,88,2279,19.0,73,3,20.0
109,4,140.0,72,2401,19.5,73,1,21.0
110,4,108.0,94,2379,16.5,73,3,22.0
111,3,70.0,90,2124,13.5,73,3,18.0
112,4,122.0,85,2310,18.5,73,1,19.0
113,6,155.0,107,2472,14.0,73,1,21.0
114,4,98.0,90,2265,15.5,73,2,26.0
115,8,350.0,145,4082,13.0,73,1,15.0
116,8,400.0,230,4278,9.5,73,1,16.0
117,4,68.0,49,1867,19.5,73,2,29.0
118,4,116.0,75,2158,15.5,73,2,24.0
119,4,114.0,91,2582,14.0,73,2,20.0
120,4,121.0,112,2868,15.5,73,2,19.0
121,8,318.0,150,3399,11.0,73,1,15.0
122,4,121.0,110,2660,14.0,73,2,24.0
123,6,156.0,122,2807,13.5,73,3,20.0
124,8,350.0,180,3664,11.0,73,1,11.0
125,6,198.0,95,3102,16.5,74,1,20.0
127,6,232.0,100,2901,16.0,74,1,19.0
128,6,250.0,100,3336,17.0,74,1,15.0
129,4,79.0,67,1950,19.0,74,3,31.0
130,4,122.0,80,2451,16.5,74,1,26.0
131,4,71.0,65,1836,21.0,74,3,32.0
132,4,140.0,75,2542,17.0,74,1,25.0
133,6,250.0,100,3781,17.0,74,1,16.0
134,6,258.0,110,3632,18.0,74,1,16.0
135,6,225.0,105,3613,16.5,74,1,18.0
136,8,302.0,140,4141,14.0,74,1,16.0
137,8,350.0,150,4699,14.5,74,1,13.0
138,8,318.0,150,4457,13.5,74,1,14.0
139,8,302.0,140,4638,16.0,74,1,14.0
140,8,304.0,150,4257,15.5,74,1,14.0
141,4,98.0,83,2219,16.5,74,2,29.0
142,4,79.0,67,1963,15.5,74,2,26.0
143,4,97.0,78,2300,14.5,74,2,26.0
144,4,76.0,52,1649,16.5,74,3,31.0
145,4,83.0,61,2003,19.0,74,3,32.0
146,4,90.0,75,2125,14.5,74,1,28.0
147,4,90.0,75,2108,15.5,74,2,24.0
148,4,116.0,75,2246,14.0,74,2,26.0
149,4,120.0,97,2489,15.0,74,3,24.0
150,4,108.0,93,2391,15.5,74,3,26.0
151,4,79.0,67,2000,16.0,74,2,31.0
152,6,225.0,95,3264,16.0,75,1,19.0
153,6,250.0,105,3459,16.0,75,1,18.0
154,6,250.0,72,3432,21.0,75,1,15.0
155,6,250.0,72,3158,19.5,75,1,15.0
156,8,400.0,170,4668,11.5,75,1,16.0
157,8,350.0,145,4440,14.0,75,1,15.0
158,8,318.0,150,4498,14.5,75,1,16.0
159,8,351.0,148,4657,13.5,75,1,14.0
160,6,231.0,110,3907,21.0,75,1,17.0
161,6,250.0,105,3897,18.5,75,1,16.0
162,6,258.0,110,3730,19.0,75,1,15.0
163,6,225.0,95,3785,19.0,75,1,18.0
164,6,231.0,110,3039,15.0,75,1,21.0
165,8,262.0,110,3221,13.5,75,1,20.0
166,8,302.0,129,3169,12.0,75,1,13.0
167,4,97.0,75,2171,16.0,75,3,29.0
168,4,140.0,83,2639,17.0,75,1,23.0
169,6,232.0,100,2914,16.0,75,1,20.0
170,4,140.0,78,2592,18.5,75,1,23.0
171,4,134.0,96,2702,13.5,75,3,24.0
172,4,90.0,71,2223,16.5,75,2,25.0
173,4,119.0,97,2545,17.0,75,3,24.0
174,6,171.0,97,2984,14.5,75,1,18.0
175,4,90.0,70,1937,14.0,75,2,29.0
176,6,232.0,90,3211,17.0,75,1,19.0
177,4,115.0,95,2694,15.0,75,2,23.0
178,4,120.0,88,2957,17.0,75,2,23.0
179,4,121.0,98,2945,14.5,75,2,22.0
180,4,121.0,115,2671,13.5,75,2,25.0
181,4,91.0,53,1795,17.5,75,3,33.0
182,4,107.0,86,2464,15.5,76,2,28.0
183,4,116.0,81,2220,16.9,76,2,25.0
184,4,140.0,92,2572,14.9,76,1,25.0
185,4,98.0,79,2255,17.7,76,1,26.0
186,4,101.0,83,2202,15.3,76,2,27.0
187,8,305.0,140,4215,13.0,76,1,17.5
188,8,318.0,150,4190,13.0,76,1,16.0
189,8,304.0,120,3962,13.9,76,1,15.5
190,8,351.0,152,4215,12.8,76,1,14.5
191,6,225.0,100,3233,15.4,76,1,22.0
192,6,250.0,105,3353,14.5,76,1,22.0
193,6,200.0,81,3012,17.6,76,1,24.0
194,6,232.0,90,3085,17.6,76,1,22.5
195,4,85.0,52,2035,22.2,76,1,29.0
196,4,98.0,60,2164,22.1,76,1,24.5
197,4,90.0,70,1937,14.2,76,2,29.0
198,4,91.0,53,1795,17.4,76,3,33.0
199,6,225.0,100,3651,17.7,76,1,20.0
200,6,250.0,78,3574,21.0,76,1,18.0
201,6,250.0,110,3645,16.2,76,1,18.5
202,6,258.0,95,3193,17.8,76,1,17.5
203,4,97.0,71,1825,12.2,76,2,29.5
204,4,85.0,70,1990,17.0,76,3,32.0
205,4,97.0,75,2155,16.4,76,3,28.0
206,4,140.0,72,2565,13.6,76,1,26.5
207,4,130.0,102,3150,15.7,76,2,20.0
208,8,318.0,150,3940,13.2,76,1,13.0
209,4,120.0,88,3270,21.9,76,2,19.0
210,6,156.0,108,2930,15.5,76,3,19.0
211,6,168.0,120,3820,16.7,76,2,16.5
212,8,350.0,180,4380,12.1,76,1,16.5
213,8,350.0,145,4055,12.0,76,1,13.0
214,8,302.0,130,3870,15.0,76,1,13.0
215,8,318.0,150,3755,14.0,76,1,13.0
216,4,98.0,68,2045,18.5,77,3,31.5
217,4,111.0,80,2155,14.8,77,1,30.0
218,4,79.0,58,1825,18.6,77,2,36.0
219,4,122.0,96,2300,15.5,77,1,25.5
220,4,85.0,70,1945,16.8,77,3,33.5
221,8,305.0,145,3880,12.5,77,1,17.5
222,8,260.0,110,4060,19.0,77,1,17.0
223,8,318.0,145,4140,13.7,77,1,15.5
224,8,302.0,130,4295,14.9,77,1,15.0
225,6,250.0,110,3520,16.4,77,1,17.5
226,6,231.0,105,3425,16.9,77,1,20.5
227,6,225.0,100,3630,17.7,77,1,19.0
228,6,250.0,98,3525,19.0,77,1,18.5
229,8,400.0,180,4220,11.1,77,1,16.0
230,8,350.0,170,4165,11.4,77,1,15.5
231,8,400.0,190,4325,12.2,77,1,15.5
232,8,351.0,149,4335,14.5,77,1,16.0
233,4,97.0,78,1940,14.5,77,2,29.0
234,4,151.0,88,2740,16.0,77,1,24.5
235,4,97.0,75,2265,18.2,77,3,26.0
236,4,140.0,89,2755,15.8,77,1,25.5
237,4,98.0,63,2051,17.0,77,1,30.5
238,4,98.0,83,2075,15.9,77,1,33.5
239,4,97.0,67,1985,16.4,77,3,30.0
240,4,97.0,78,2190,14.1,77,2,30.5
241,6,146.0,97,2815,14.5,77,3,22.0
242,4,121.0,110,2600,12.8,77,2,21.5
243,3,80.0,110,2720,13.5,77,3,21.5
244,4,90.0,48,1985,21.5,78,2,43.1
245,4,98.0,66,1800,14.4,78,1,36.1
246,4,78.0,52,1985,19.4,78,3,32.8
247,4,85.0,70,2070,18.6,78,3,39.4
248,4,91.0,60,1800,16.4,78,3,36.1
249,8,260.0,110,3365,15.5,78,1,19.9
250,8,318.0,140,3735,13.2,78,1,19.4
251,8,302.0,139,3570,12.8,78,1,20.2
252,6,231.0,105,3535,19.2,78,1,19.2
253,6,200.0,95,3155,18.2,78,1,20.5
254,6,200.0,85,2965,15.8,78,1,20.2
255,4,140.0,88,2720,15.4,78,1,25.1
256,6,225.0,100,3430,17.2,78,1,20.5
257,6,232.0,90,3210,17.2,78,1,19.4
258,6,231.0,105,3380,15.8,78,1,20.6
259,6,200.0,85,3070,16.7,78,1,20.8
260,6,225.0,110,3620,18.7,78,1,18.6
261,6,258.0,120,3410,15.1,78,1,18.1
262,8,305.0,145,3425,13.2,78,1,19.2
263,6,231.0,165,3445,13.4,78,1,17.7
264,8,302.0,139,3205,11.2,78,1,18.1
265,8,318.0,140,4080,13.7,78,1,17.5
266,4,98.0,68,2155,16.5,78,1,30.0
267,4,134.0,95,2560,14.2,78,3,27.5
268,4,119.0,97,2300,14.7,78,3,27.2
269,4,105.0,75,2230,14.5,78,1,30.9
270,4,134.0,95,2515,14.8,78,3,21.1
271,4,156.0,105,2745,16.7,78,1,23.2
272,4,151.0,85,2855,17.6,78,1,23.8
273,4,119.0,97,2405,14.9,78,3,23.9
274,5,131.0,103,2830,15.9,78,2,20.3
275,6,163.0,125,3140,13.6,78,2,17.0
276,4,121.0,115,2795,15.7,78,2,21.6
277,6,163.0,133,3410,15.8,78,2,16.2
278,4,89.0,71,1990,14.9,78,2,31.5
279,4,98.0,68,2135,16.6,78,3,29.5
280,6,231.0,115,3245,15.4,79,1,21.5
281,6,200.0,85,2990,18.2,79,1,19.8
282,4,140.0,88,2890,17.3,79,1,22.3
283,6,232.0,90,3265,18.2,79,1,20.2
284,6,225.0,110,3360,16.6,79,1,20.6
285,8,305.0,130,3840,15.4,79,1,17.0
286,8,302.0,129,3725,13.4,79,1,17.6
287,8,351.0,138,3955,13.2,79,1,16.5
288,8,318.0,135,3830,15.2,79,1,18.2
289,8,350.0,155,4360,14.9,79,1,16.9
290,8,351.0,142,4054,14.3,79,1,15.5
291,8,267.0,125,3605,15.0,79,1,19.2
292,8,360.0,150,3940,13.0,79,1,18.5
293,4,89.0,71,1925,14.0,79,2,31.9
294,4,86.0,65,1975,15.2,79,3,34.1
295,4,98.0,80,1915,14.4,79,1,35.7
296,4,121.0,80,2670,15.0,79,1,27.4
297,5,183.0,77,3530,20.1,79,2,25.4
298,8,350.0,125,3900,17.4,79,1,23.0
299,4,141.0,71,3190,24.8,79,2,27.2
300,8,260.0,90,3420,22.2,79,1,23.9
301,4,105.0,70,2200,13.2,79,1,34.2
302,4,105.0,70,2150,14.9,79,1,34.5
303,4,85.0,65,2020,19.2,79,3,31.8
304,4,91.0,69,2130,14.7,79,2,37.3
305,4,151.0,90,2670,16.0,79,1,28.4
306,6,173.0,115,2595,11.3,79,1,28.8
307,6,173.0,115,2700,12.9,79,1,26.8
308,4,151.0,90,2556,13.2,79,1,33.5
309,4,98.0,76,2144,14.7,80,2,41.5
310,4,89.0,60,1968,18.8,80,3,38.1
311,4,98.0,70,2120,15.5,80,1,32.1
312,4,86.0,65,2019,16.4,80,3,37.2
313,4,151.0,90,2678,16.5,80,1,28.0
314,4,140.0,88,2870,18.1,80,1,26.4
315,4,151.0,90,3003,20.1,80,1,24.3
316,6,225.0,90,3381,18.7,80,1,19.1
317,4,97.0,78,2188,15.8,80,2,34.3
318,4,134.0,90,2711,15.5,80,3,29.8
319,4,120.0,75,2542,17.5,80,3,31.3
320,4,119.0,92,2434,15.0,80,3,37.0
321,4,108.0,75,2265,15.2,80,3,32.2
322,4,86.0,65,2110,17.9,80,3,46.6
323,4,156.0,105,2800,14.4,80,1,27.9
324,4,85.0,65,2110,19.2,80,3,40.8
325,4,90.0,48,2085,21.7,80,2,44.3
326,4,90.0,48,2335,23.7,80,2,43.4
327,5,121.0,67,2950,19.9,80,2,36.4
328,4,146.0,67,3250,21.8,80,2,30.0
329,4,91.0,67,1850,13.8,80,3,44.6
331,4,97.0,67,2145,18.0,80,3,33.8
332,4,89.0,62,1845,15.3,80,2,29.8
333,6,168.0,132,2910,11.4,80,3,32.7
334,3,70.0,100,2420,12.5,80,3,23.7
335,4,122.0,88,2500,15.1,80,2,35.0
337,4,107.0,72,2290,17.0,80,3,32.4
338,4,135.0,84,2490,15.7,81,1,27.2
339,4,151.0,84,2635,16.4,81,1,26.6
340,4,156.0,92,2620,14.4,81,1,25.8
341,6,173.0,110,2725,12.6,81,1,23.5
342,4,135.0,84,2385,12.9,81,1,30.0
343,4,79.0,58,1755,16.9,81,3,39.1
344,4,86.0,64,1875,16.4,81,1,39.0
345,4,81.0,60,1760,16.1,81,3,35.1
346,4,97.0,67,2065,17.8,81,3,32.3
347,4,85.0,65,1975,19.4,81,3,37.0
348,4,89.0,62,2050,17.3,81,3,37.7
349,4,91.0,68,1985,16.0,81,3,34.1
350,4,105.0,63,2215,14.9,81,1,34.7
351,4,98.0,65,2045,16.2,81,1,34.4
352,4,98.0,65,2380,20.7,81,1,29.9
353,4,105.0,74,2190,14.2,81,2,33.0
355,4,107.0,75,2210,14.4,81,3,33.7
356,4,108.0,75,2350,16.8,81,3,32.4
357,4,119.0,100,2615,14.8,81,3,32.9
358,4,120.0,74,2635,18.3,81,3,31.6
359,4,141.0,80,3230,20.4,81,2,28.1
360,6,145.0,76,3160,19.6,81,2,30.7
361,6,168.0,116,2900,12.6,81,3,25.4
362,6,146.0,120,2930,13.8,81,3,24.2
363,6,231.0,110,3415,15.8,81,1,22.4
364,8,350.0,105,3725,19.0,81,1,26.6
365,6,200.0,88,3060,17.1,81,1,20.2
366,6,225.0,85,3465,16.6,81,1,17.6
367,4,112.0,88,2605,19.6,82,1,28.0
368,4,112.0,88,2640,18.6,82,1,27.0
369,4,112.0,88,2395,18.0,82,1,34.0
370,4,112.0,85,2575,16.2,82,1,31.0
371,4,135.0,84,2525,16.0,82,1,29.0
372,4,151.0,90,2735,18.0,82,1,27.0
373,4,140.0,92,2865,16.4,82,1,24.0
375,4,105.0,74,1980,15.3,82,2,36.0
376,4,91.0,68,2025,18.2,82,3,37.0
377,4,91.0,68,1970,17.6,82,3,31.0
378,4,105.0,63,2125,14.7,82,1,38.0
379,4,98.0,70,2125,17.3,82,1,36.0
380,4,120.0,88,2160,14.5,82,3,36.0
381,4,107.0,75,2205,14.5,82,3,36.0
382,4,108.0,70,2245,16.9,82,3,34.0
383,4,91.0,67,1965,15.0,82,3,38.0
384,4,91.0,67,1965,15.7,82,3,32.0
385,4,91.0,67,1995,16.2,82,3,38.0
386,6,181.0,110,2945,16.4,82,1,25.0
387,6,262.0,85,3015,17.0,82,1,38.0
388,4,156.0,92,2585,14.5,82,1,26.0
389,6,232.0,112,2835,14.7,82,1,22.0
390,4,144.0,96,2665,13.9,82,3,32.0
391,4,135.0,84,2370,13.0,82,1,36.0
392,4,151.0,90,2950,17.3,82,1,27.0
393,4,140.0,86,2790,15.6,82,1,27.0
394,4,97.0,52,2130,24.6,82,2,44.0
395,4,135.0,84,2295,11.6,82,1,32.0
396,4,120.0,79,2625,18.6,82,1,28.0
397,4,119.0,82,2720,19.4,82,1,31.0
